~$6,,~$8,,~$36,,
,,,,$36.0,8496485,
,,,,$36.0,8496494,
,,,,$36.0,8496485,
,,,,$36.0,8496484,
,,,,$36.0,8496484,
,,,,$36.0,8250073,
,,,,$36.0,8250068,
,,,,$36.0,8250068,
,,,,$36.0,8250073,
,,,,$36.0,8251232,
,,,,$36.0,8251232,
,,,,$36.0,8256582,
,,,,$36.0,8053676,
,,,,$36.0,8065999,
,,,,$36.0,8066028,
,,,,$36.0,8066121,
,,,,$36.0,8065996,
,,,,$36.0,8065999,
,,,,$36.0,8066034,
,,,,$36.0,8258332,
,,,,$36.0,8258960,
,,,,$36.0,8258957,
,,,,$36.0,8262499,
,,,,$36.0,8262499,
,,,,$36.0,8264640,
,,,,$36.0,8264638,
,,,,$36.0,8264643,
,,,,$36.0,8264642,
,,,,$36.0,8264727,
,,,,$36.0,8264727,
,,,,$36.0,8264641,
,,,,$36.0,8274656,
,,,,$36.0,8270534,
,,,,$36.0,8276289,
,,,,$36.0,8271768,
,,,,$36.0,8270534,
,,,,$36.0,8271768,
,,,,$36.0,8108640,
,,,,$36.0,8273749,
,,,,$36.0,8273813,
,,,,$36.0,8273813,
,,,,$36.0,8274656,
,,,,$36.0,8275169,
,,,,$36.0,8274279,
,,,,$36.0,8274656,
,,,,$36.0,8276289,
,,,,$36.0,8276289,
,,,,$36.0,8278548,
,,,,$36.0,8276287,
,,,,$36.0,8276289,
,,,,$36.0,8108640,
,,,,$36.0,8108640,
,,,,$36.0,8285243,
,,,,$36.0,8284133,
,,,,$36.0,8282143,
,,,,$36.0,8284133,
,,,,$36.0,8284163,
,,,,$36.0,8282247,
,,,,$36.0,8282247,
,,,,$36.0,8285243,
,,,,$36.0,8114993,
,,,,$36.0,8295428,
,,,,$36.0,8295769,
,,,,$36.0,8208918,
,,,,$36.0,8297997,
,,,,$36.0,7783614,
,,,,$36.0,7783614,
,,,,$36.0,8303987,
,,,,$36.0,8256606,
,,,,$36.0,8303987,
,,,,$36.0,8139615,
,,,,$36.0,8314342,
,,,,$36.0,8321576,
,,,,$36.0,8321543,
,,,,$36.0,8321576,
,,,,$36.0,8282143,
,,,,$36.0,8321497,
,,,,$36.0,8322915,
,,,,$36.0,8322990,
,,,,$36.0,8324234,
,,,,$36.0,8326324,
,,,,$36.0,8218032,
,,,,$36.0,8084634,
,,,,$36.0,8084634,
,,,,$36.0,8334070,
,,,,$36.0,8332351,
,,,,$36.0,8332437,
,,,,$36.0,8332351,
,,,,$36.0,8332351,
,,,,$36.0,8333965,
,,,,$36.0,8240880,
,,,,$36.0,8334070,
,,,,$36.0,8333965,
,,,,$36.0,8336130,
,,,,$36.0,8336129,
,,,,$36.0,8336129,
,,,,$36.0,8336130,
,,,,$36.0,8338023,
,,,,$36.0,8338023,
,,,,$36.0,8338023,
,,,,$36.0,8144858,
,,,,$36.0,8337800,
,,,,$36.0,8337800,
,,,,$36.0,8337800,
,,,,$36.0,8338426,
,,,,$36.0,8127342,
,,,,$36.0,8114993,
,,,,$36.0,8114991,
,,,,$36.0,8123860,
,,,,$36.0,8123860,
,,,,$36.0,8123860,
,,,,$36.0,7802947,
,,,,$36.0,8144858,
,,,,$36.0,8144858,
,,,,$36.0,7675462,
,,,,$36.0,7675244,
,,,,$36.0,7675462,
,,,,$36.0,8015516,
,,,,$36.0,8066383,
,,,,$36.0,8152085,
,,,,$36.0,8158620,
,,,,$36.0,8158620,
,,,,$36.0,8158620,
,,,,$36.0,8158620,
,,,,$36.0,8165632,
,,,,$36.0,8191558,
,,,,$36.0,8165287,
,,,,$36.0,8165312,
,,,,$36.0,8191570,
,,,,$36.0,8191557,
,,,,$36.0,8165299,
,,,,$36.0,8165293,
,,,,$36.0,8191557,
,,,,$36.0,8166090,
,,,,$36.0,8191558,
,,,,$36.0,8166265,
,,,,$36.0,8191571,
,,,,$36.0,8191524,
,,,,$36.0,8166269,
,,,,$36.0,8191557,
,,,,$36.0,8191572,
,,,,$36.0,7845027,
,,,,$36.0,8170441,
,,,,$36.0,8174534,
,,,,$36.0,8174534,
,,,,$36.0,8176117,
,,,,$36.0,8176290,
,,,,$36.0,8176290,
,,,,$36.0,8176412,
,,,,$36.0,8173770,
,,,,$36.0,8184800,
,,,,$36.0,8196869,
,,,,$36.0,8193860,
,,,,$36.0,8191625,
,,,,$36.0,7420864,
,,,,$36.0,8189669,
,,,,$36.0,8189669,
,,,,$36.0,8191625,
,,,,$36.0,8198156,
,,,,$36.0,8193860,
,,,,$36.0,8200286,
,,,,$36.0,8202742,
,,,,$36.0,8205514,
,,,,$36.0,8206790,
,,,,$36.0,8206790,
,,,,$36.0,8206791,
,,,,$36.0,8204608,
,,,,$36.0,8206791,
,,,,$36.0,8206790,
,,,,$36.0,8206872,
,,,,$36.0,8204763,
,,,,$36.0,8205514,
,,,,$36.0,8204608,
,,,,$36.0,8205514,
,,,,$36.0,8206871,
,,,,$36.0,8108642,
,,,,$36.0,8218032,
,,,,$36.0,8218032,
,,,,$36.0,8214995,
,,,,$36.0,8220548,
,,,,$36.0,8165524,
,,,,$36.0,8227273,
,,,,$36.0,8227273,
,,,,$36.0,8237042,
,,,,$36.0,8235217,
,,,,$36.0,8237042,
,,,,$36.0,8235217,
,,,,$36.0,8237042,
,,,,$36.0,8237291,
,,,,$36.0,8237291,
,,,,$36.0,8236956,
,,,,$36.0,8240512,
,,,,$36.0,8240512,
,,,,$36.0,8241414,
,,,,$36.0,8242801,
,,,,$36.0,8042233,
,,,,$36.0,8252885,
,,,,$36.0,8251964,
,,,,$36.0,8250068,
,,,,$36.0,8250068,
,,,,$36.0,8250068,
,,,,$36.0,8250068,
,,,,$36.0,8250068,
,,,,$36.0,8250068,
,,,,$36.0,8250068,
,,,,$36.0,8387190,
,,,,$36.0,8196869,
,,,,$36.0,8196869,
,,,,$36.0,8387192,
,,,,$36.0,8387192,
,,,,$36.0,8387190,
,,,,$36.0,8196869,
,,,,$36.0,8387192,
,,,,$36.0,8196869,
,,,,$36.0,8388502,
,,,,$36.0,8388502,
,,,,$36.0,8391579,
,,,,$36.0,8391574,
,,,,$36.0,8391574,
,,,,$36.0,8391573,
,,,,$36.0,8392857,
,,,,$36.0,8391579,
,,,,$36.0,8391579,
,,,,$36.0,8391569,
,,,,$36.0,8391579,
,,,,$36.0,8393827,
,,,,$36.0,8392864,
,,,,$36.0,8392864,
,,,,$36.0,8393827,
,,,,$36.0,8394744,
,,,,$36.0,8394745,
,,,,$36.0,8270534,
,,,,$36.0,8397803,
,,,,$36.0,8397803,
,,,,$36.0,8398525,
,,,,$36.0,8398525,
,,,,$36.0,8398525,
,,,,$36.0,8398525,
,,,,$36.0,8317580,
,,,,$36.0,8317580,
,,,,$36.0,8399589,
,,,,$36.0,8399589,
,,,,$36.0,8425175,
,,,,$36.0,8399792,
,,,,$36.0,8401859,
,,,,$36.0,8401871,
,,,,$36.0,8399589,
,,,,$36.0,8401872,
,,,,$36.0,8402114,
,,,,$36.0,8403541,
,,,,$36.0,8336129,
,,,,$36.0,8403541,
,,,,$36.0,8404143,
,,,,$36.0,8405502,
,,,,$36.0,8405509,
,,,,$36.0,8404143,
,,,,$36.0,8404388,
,,,,$36.0,8405512,
,,,,$36.0,8405623,
,,,,$36.0,8405479,
,,,,$36.0,8405479,
,,,,$36.0,8405501,
,,,,$36.0,8405484,
,,,,$36.0,8406624,
,,,,$36.0,8298354,
,,,,$36.0,8412000,
,,,,$36.0,8412409,
,,,,$36.0,8223014,
,,,,$36.0,8223014,
,,,,$36.0,8223016,
,,,,$36.0,8417142,
,,,,$36.0,7623153,
,,,,$36.0,8044289,
,,,,$36.0,7623153,
,,,,$36.0,7623153,
,,,,$36.0,8418728,
,,,,$36.0,7623153,
,,,,$36.0,7623153,
,,,,$36.0,7623153,
,,,,$36.0,8424276,
,,,,$36.0,8424276,
,,,,$36.0,8424276,
,,,,$36.0,8424707,
,,,,$36.0,8424276,
,,,,$36.0,8425210,
,,,,$36.0,8426214,
,,,,$36.0,8426214,
,,,,$36.0,8426214,
,,,,$36.0,8426219,
,,,,$36.0,8427321,
,,,,$36.0,8427318,
,,,,$36.0,8427318,
,,,,$36.0,8429636,
,,,,$36.0,8434322,
,,,,$36.0,8433675,
,,,,$36.0,8434098,
,,,,$36.0,8434322,
,,,,$36.0,8434098,
,,,,$36.0,8436399,
,,,,$36.0,8436356,
,,,,$36.0,8436394,
,,,,$36.0,8436601,
,,,,$36.0,8436698,
,,,,$36.0,8437103,
,,,,$36.0,8437014,
,,,,$36.0,8338426,
,,,,$36.0,8339404,
,,,,$36.0,8339404,
,,,,$36.0,8339404,
,,,,$36.0,8339404,
,,,,$36.0,8339404,
,,,,$36.0,8339404,
,,,,$36.0,8339404,
,,,,$36.0,8339404,
,,,,$36.0,8339404,
,,,,$36.0,8339404,
,,,,$36.0,8339451,
,,,,$36.0,8340584,
,,,,$36.0,8143022,
,,,,$36.0,8336130,
,,,,$36.0,8345002,
,,,,$36.0,8345002,
,,,,$36.0,8250068,
,,,,$36.0,8250068,
,,,,$36.0,8345182,
,,,,$36.0,7971238,
,,,,$36.0,8306799,
,,,,$36.0,8349929,
,,,,$36.0,8350037,
,,,,$36.0,8351002,
,,,,$36.0,8351841,
,,,,$36.0,8353972,
,,,,$36.0,8353968,
,,,,$36.0,8361134,
,,,,$36.0,8363251,
,,,,$36.0,8363730,
,,,,$36.0,8363251,
,,,,$36.0,8363251,
,,,,$36.0,8271045,
,,,,$36.0,8367010,
,,,,$36.0,8366086,
,,,,$36.0,8081541,
,,,,$36.0,8367241,
,,,,$36.0,8367010,
,,,,$36.0,8081568,
,,,,$36.0,7815347,
,,,,$36.0,7815347,
,,,,$36.0,7815347,
,,,,$36.0,8370646,
,,,,$36.0,8370635,
,,,,$36.0,8370637,
,,,,$36.0,8370635,
,,,,$36.0,8143367,
,,,,$36.0,8370646,
,,,,$36.0,8108651,
,,,,$36.0,8108640,
,,,,$36.0,8108640,
,,,,$36.0,8371775,
,,,,$36.0,8371643,
,,,,$36.0,8108640,
,,,,$36.0,8371856,
,,,,$36.0,8108642,
,,,,$36.0,8371856,
,,,,$36.0,8108642,
,,,,$36.0,8372201,
,,,,$36.0,8371856,
,,,,$36.0,8375550,
,,,,$36.0,8375550,
,,,,$36.0,8375781,
,,,,$36.0,8376946,
,,,,$36.0,8377480,
,,,,$36.0,8377297,
,,,,$36.0,8377288,
,,,,$36.0,8377297,
,,,,$36.0,8377479,
,,,,$36.0,8377481,
,,,,$36.0,8377481,
